3 2313 4662
0 35 5.1130576172e+03 4.1189929199e+02
1 35 4.7201157227e+03 2.8429632568e+02
0 36 5.0292221680e+03 4.0796920776e+02
1 36 4.6472470703e+03 2.8339660645e+02
0 37 4.8539526367e+03 4.1867041016e+02
1 37 4.4912451172e+03 3.0089309692e+02
0 38 5.3111191406e+03 4.2120843506e+02
1 38 4.8943413086e+03 2.8555648804e+02
0 39 5.2480766602e+03 4.3902285767e+02
1 39 4.8393593750e+03 3.0603649902e+02
0 40 5.2780639648e+03 4.5704028320e+02
1 40 4.8664931641e+03 3.2341012573e+02
0 41 4.9653041992e+03 4.4790948486e+02
1 41 4.5931098633e+03 3.2626983643e+02
0 42 4.7326547852e+03 4.8612277222e+02
1 42 4.3906020508e+03 3.7387304688e+02
0 43 5.4085590820e+03 4.6676779175e+02
1 43 4.9820078125e+03 3.2798538208e+02
0 44 5.1889536133e+03 4.7308584595e+02
1 44 4.7883530273e+03 3.4262008667e+02
0 45 4.8075786133e+03 4.9639181519e+02
1 45 4.4560800781e+03 3.8198025513e+02
0 46 4.6699663086e+03 4.8617385864e+02
1 46 4.3359262695e+03 3.7690655518e+02
0 47 5.2688232422e+03 4.8154397583e+02
1 47 4.8583388672e+03 3.4877783203e+02
0 48 4.7033457031e+03 4.9277951050e+02
1 48 4.3651645508e+03 3.8224777222e+02
0 49 5.1779750977e+03 4.9882067871e+02
1 49 4.7797724609e+03 3.7015408325e+02
0 50 4.6950834961e+03 5.1366705322e+02
1 50 4.3574648438e+03 4.0380355835e+02
0 51 5.2191303711e+03 5.0994464111e+02
1 51 4.8156572266e+03 3.7966232300e+02
0 52 5.3712182617e+03 5.1944921875e+02
1 52 4.9507382813e+03 3.8321765137e+02
0 53 4.9827900391e+03 5.2631829834e+02
1 53 4.6089223633e+03 4.0598654175e+02
0 54 4.9635917969e+03 5.2426788330e+02
1 54 4.5928598633e+03 4.0425723267e+02
0 55 4.5900273438e+03 5.2200372314e+02
1 55 4.2668779297e+03 4.1607037354e+02
0 56 5.3428608398e+03 5.2249896240e+02
1 56 4.9250219727e+03 3.8759872437e+02
0 57 5.2739545898e+03 5.2829626465e+02
1 57 4.8646367188e+03 3.9639010620e+02
0 58 4.7949013672e+03 5.1958868408e+02
1 58 4.4450820313e+03 4.0581146240e+02
0 59 5.0472431641e+03 5.1844628906e+02
1 59 4.6651323242e+03 3.9562194824e+02
0 60 5.1873618164e+03 5.2382806396e+02
1 60 4.7884482422e+03 3.9506747437e+02
0 61 5.2083593750e+03 5.3105682373e+02
